Carimbo de data/hora,A qual instituição você está filiado hoje?,"Se você estuda na UFPR, em qual setor você está inserido?  ",Qual sua atividade atual na sua universidade (relacionada à presença nesta disciplina)?,Em qual grande área do conhecimento sua pesquisa está inserida hoje?,Em qual ano você concluiu sua graduação?,"Em qual instituição você concluiu sua graduação? (Insira a sigla, ex: UFPR, UNIOESTE, PUCPR, UEM, UEL, etc.)",De quais programas de graduação você participou?,"Se você já concluiu o mestrado, qual o ano de início do mestrado?",Qual o ano de conclusão do seu mestrado?,Em qual instituição você fez seu mestrado?,Quantos artigos (com qualis) você já publicou?,Você é bolsista remunerado de algum programa? Qual?,Quantas disciplinas de Estatística você cursou na graduação?,Quantas disciplinas DIFERENTES de Estatística vc cursou na pós-graduação (mestrado + doutorado) no total? ,Já utilizou algum software com funcionalidades estatísticas?,Qual(is) software(s) com funcionalidades estatísticas você usa ou já usou?,Você vai utilizar métodos estatísticos na sua Pós-Graduação/Pesquisa?,Qual a importância que você atribui à Estatística no seu trabalho de Pós-Graduação/Pesquisa? ,"Se você está fazendo Pós-Graduação, qual a sua principal expectativa após a conclusão?",Como tomou conhecimento da Disciplina Transversal?,"Após se matricular no SIGA, você assistiu alguma aula do ano anterior da Disciplina no YouTube? ",A qual turma da disciplina você pertence?,Tem/teve contato ou conhecimento sobre o Prof. Coordenador da Disciplina (Paulo Justiniano)?,Tem/teve contato ou conhecimento sobre o(s) prof(s). colaboradores da disciplina?,Você cursou o ensino médio em escola pública ou particular?,Você cursou ensino médio tradicional ou profissionalizante?,Sexo,Qual a sua altura?,Qual o seu peso?,Qual a data do seu nascimento?,Qual das seguintes categorias descreve melhor sua situação de emprego?,Você mora,Quantos irmãos você tem?,Qual a sua origem?,Possui habilitação para dirigir? Qual categoria?,Qual seu meio de transporte predominante para ir para Universidade?,"Em média, quanto tempo você demora para chegar a Universidade?","Em média, quantas vezes você usa táxi/aplicativo de transporte durante o mês?",Possui animal de estimação?,Toca algum instrumento musical?,De quais redes sociais você participa?,Quantos anos você acha que a pessoa da foto abaixo tem?,"Observe as figuras abaixo. Uma delas se chama ""Bouba"" e a outra ""Kiki"". Quem é quem?"
17/03/2020 08:53:17,UFPR,AG - Agrárias,Mestrado Acadêmico,Ciências Biológicas,2018,IDEAU,"Iniciação científica, Monitoria",,,,3,CAPES,2,7,Sim,"SAS, Excel, Genes, Assistat",Certamente sim,8,Conseguir um emprego.,Por colegas,Não,Remota,Não,Não,Totalmente em escola pública,Ensino médio tradicional,Feminino,170,68,26/11/1996,Bolsista em tempo integral,Sozinho,1,Outro Estado,B (carro),Transporte público,30,20,Cachorro,Violão,"Facebook, Google+, Instagram, Linkedin, Outras",40,A se chama Bouba e B se chama Kiki.
17/03/2020 09:10:22,UNICENTRO,,Mestrado Acadêmico,Ciências Biológicas,2017, FAG,Iniciação científica,,,,0,Não,1,2,Sim,"Excel, Sisvar",Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Pelo(a)  orientador(a),Sim,Remota,Não,Sim,Totalmente em escola pública,Ensino médio tradicional,Feminino,156,63,23/11/1997,Trabalho ocasional,Com os pais,1,Interior do Paraná,B (carro),Transporte público,40,3,"Cachorro, Gato",Não toco nenhum instrumento,"Facebook, Instagram, Outras",50,B se chama Bouba e A se chama Kiki.
17/03/2020 09:17:51,UFPR,SD - Saúde,Doutorado,Ciências Biológicas,2012,UNIVERSIDADE POSITIVO,,2017,2019,UFPR,0,CAPES,1,7,Sim,R,Certamente sim,10,CONTRIBUIR COM A HUMANIDADE,Site da UFPR ou instituição de origem,Não,Remota,Não,Não,Totalmente em escola pública,Ensino médio tradicional,Feminino,155,60,10/07/2020,Bolsista em tempo integral,Com outros familiares,7,Interior do Paraná,B (carro),Carro/moto próprio,60,0,"Cachorro, Gato",Não toco nenhum instrumento,"Facebook, Linkedin",43,B se chama Bouba e A se chama Kiki.
17/03/2020 09:32:18,UFPR,TC - Tecnologia,Doutorado,Ciências Exatas,2004,UTFPR,,2015,2017,UNIOESTE,4,Não,1,7,Sim,Excel,Certamente sim,8,Aumento salarial e oportunidades mais promissoras.,Site da UFPR ou instituição de origem,Não,Remota,Não,Não,Totalmente em escola pública,Ensino médio tradicional,Feminino,167,67,10/10/1982,Trabalho com carteira assinada/Vínculo Formal,Com o namorado(a)/noivo(a)/cônjuge,5,Interior do Paraná,A e B (moto e carro),Carro/moto próprio,60,0,Não possuo,Não toco nenhum instrumento,"Facebook, Instagram",50,A se chama Bouba e B se chama Kiki.
17/03/2020 09:32:33,UNICENTRO,,Doutorado,Ciências Biológicas,2011,Faculdade Guarapuava,,2012,2014,UNICENTRO,6,Não,3,16,Sim,"R, Statistica, SPSS, Excel, PAST",Certamente sim,10,Conseguir um emprego.,Pelos professores que ministram/ministraram disciplinas da Transversal,Não,Remota,Não,Sim,Totalmente em escola pública,Ensino médio tradicional,Masculino,186,104,23/01/1985,Trabalho com carteira assinada/Vínculo Formal,Com o namorado(a)/noivo(a)/cônjuge,3,Interior do Paraná,Superior à B,Carro/moto próprio,15,0,Peixe,Não toco nenhum instrumento,"Facebook, Twitter, Instagram",46,A se chama Bouba e B se chama Kiki.
17/03/2020 09:40:45,UNICENTRO,,Doutorado,Ciências Exatas,2013,UNICENTRO,Iniciação científica,2018,2020,UNICENTRO,0,Não,0,5,Sim,Excel,Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Pelo(a)  orientador(a),Não,Remota,Não,Não,Totalmente em escola pública,Ensino médio tradicional,Masculino,169,80,20/09/1989,PROFESSOR CONCURSADO QPM VINCULADO A SEED,Com o namorado(a)/noivo(a)/cônjuge,2,Interior do Paraná,B (carro),Carro/moto próprio,90,0,Cachorro,Não toco nenhum instrumento,"Facebook, Instagram",54,A se chama Bouba e B se chama Kiki.
17/03/2020 09:41:24,UFPR,SP - Palotina,Mestrado Acadêmico,Ciências Exatas,2019,Unicesumar ,"Iniciação científica, Empresa Júnior",,,UFPR,0,Não,1,0,Sim,"Excel, Matlab",Certamente sim,8,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Site da UFPR ou instituição de origem,Não,Remota,Não,Não,Totalmente em escola particular,Ensino médio tradicional,Feminino,165,64,02/11/1997,Desempregada ,Com os pais,0,Interior do Paraná,B (carro),Serviço fretado de van/ônibus,30,4,Cachorro,Não toco nenhum instrumento,"Instagram, Linkedin",50,A se chama Bouba e B se chama Kiki.
17/03/2020 09:46:30,UFPR,CT - Ciências da Terra,Doutorado,Ciências Exatas,2007,IME,,2014,2016,UFPR,1,Não,1,50,Sim,"R, Statistica, SPSS, Excel, Matlab",Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Site da UFPR ou instituição de origem,Não,Remota,Não,Não,"Parte em escola pública, parte em particular",Ensino médio tradicional,Masculino,180,90,27/01/1980,Trabalho com carteira assinada/Vínculo Formal,Sozinho,1,Outro Estado,A e B (moto e carro),Táxi/Aplicativo,10,60,Cachorro,"Violão, Teclado, Piano, Flauta","Twitter, Google+, Outras",45,B se chama Bouba e A se chama Kiki.
17/03/2020 09:48:43,UFPR,AG - Agrárias,Mestrado Acadêmico,Ciências Biológicas,2018,UFPR,"Iniciação científica, Monitoria, Projeto de extensão",,,,2,Não,1,0,Não,,Certamente sim,9,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Site da UFPR ou instituição de origem,Não,Presencial,Não,Não,Totalmente em escola particular,Ensino médio tradicional,Feminino,178,62,30/09/1994,Autônomo ,Com os pais,1,Curitiba,B (carro),Carro/moto próprio,30,0,Cachorro,"Violão, Piano",Facebook,68,B se chama Bouba e A se chama Kiki.
17/03/2020 09:59:05,UFPR,SD - Saúde,Mestrado Acadêmico,Ciências Biológicas,2019,UFPR,"Iniciação científica, Monitoria, Projeto de extensão",,,,1,CAPES,0,6,Sim,"SPSS, GraphPad prism 7",Certamente sim,10,Aumento salarial e oportunidades mais promissoras.,Email institucional da SuCom (Superintendência de Comunicação e Marketing),Não,Remota,Não,Não,Totalmente em escola pública,Ensino médio tradicional,Masculino,184,86,15/11/1995,Bolsista em tempo integral,Sozinho,1,Outro Estado,B (carro),Transporte público,70,10,Não possuo,"Violão, Teclado, Contrabaixo","Instagram, Linkedin",50,B se chama Bouba e A se chama Kiki.
17/03/2020 10:00:45,UFPR,SA - Sociais Aplicadas,Mestrado Acadêmico,Ciências Humanas,2000,UCASAL- Universidad Católica de Salta (Argentina) revalidação por UFPR,,,,UFPR,0,"Ainda não saiu, mas como sai primeiro no processo seletivo estou esperando. ",1,2,Não,,Não sei ainda,5,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Pelo(a)  orientador(a),Sim,Presencial,Não,Não,Totalmente em escola particular,Ensino médio tradicional,Masculino,171,88,29/10/1971,Trabalho ocasional,Com o namorado(a)/noivo(a)/cônjuge,3,Outro País,A e B (moto e carro),A pé,25,1,Cachorro,Não toco nenhum instrumento,Facebook,45,B se chama Bouba e A se chama Kiki.
17/03/2020 10:00:56,UNILA,,Mestrado Acadêmico,Ciências Biológicas,2017,UDC,"Iniciação científica, Monitoria, Projeto de extensão",2018,2020,UNILA,2,Programa de Demanda Social da UNILA,1,10,Sim,"R, Excel, BioEstat, GraphPad Prism",Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Email institucional da SuCom (Superintendência de Comunicação e Marketing),Não,Remota,Não,Não,Totalmente em escola pública,Ensino médio profissionalizante (técnico),Feminino,170,70,10/08/1994,Finalizando vínculo como bolsista integral,Com os pais,2,Interior do Paraná,Não,Transporte público,40,5,"Gato, Pássaro",Não toco nenhum instrumento,"Facebook, Instagram, Linkedin",50,B se chama Bouba e A se chama Kiki.
17/03/2020 10:15:09,UFPR,SD - Saúde,Doutorado,Ciências Biológicas,1990,UEPG,,2002,2004,UEM,5,Não,1,10,Não,Excel,Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Site da UFPR ou instituição de origem,Não,Remota,Não,Não,Totalmente em escola particular,Ensino médio profissionalizante (técnico),Feminino,160,60,30/09/1968,Trabalho com carteira assinada/Vínculo Formal,Com o namorado(a)/noivo(a)/cônjuge,2,Interior do Paraná,B (carro),Táxi/Aplicativo,25,2,Não possuo,Não toco nenhum instrumento,"Facebook, Google+, Instagram, Linkedin",55,B se chama Bouba e A se chama Kiki.
17/03/2020 10:26:57,UEPG,,Mestrado Acadêmico,Ciências Exatas,2009,UEPG,Projeto de extensão,,2021,,0,Não,0,1,Sim,Excel,Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Site da UFPR ou instituição de origem,Não,Remota,Não,Não,Totalmente em escola particular,Ensino médio tradicional,Feminino,166,90,30/03/1981,Bolsista em tempo integral,Com os pais,2,Interior do Paraná,B (carro),Carro/moto próprio,15,0,Não possuo,Não toco nenhum instrumento,"Facebook, Instagram",50,B se chama Bouba e A se chama Kiki.
17/03/2020 10:29:02,UFPR,SD - Saúde,Mestrado Acadêmico,Ciências Biológicas,2013,UFMG,"Iniciação científica, Monitoria, Projeto de extensão",,,,8,Não,1,0,Sim,"SPSS, Excel",Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Por colegas,Não,Remota,Não,Não,Totalmente em escola particular,Ensino médio tradicional,Masculino,176,72,23/04/1990,Trabalho com carteira assinada/Vínculo Formal,Sozinho,1,Outro Estado,B (carro),A pé,10,8,Cachorro,Não toco nenhum instrumento,"Facebook, Instagram",55,B se chama Bouba e A se chama Kiki.
17/03/2020 10:29:15,UFPR,SA - Sociais Aplicadas,Mestrado Acadêmico,Ciências Humanas,2001,UP,,,,,0,Não,1,0,Não,,Certamente sim,9,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Por alguma outra mídia social da UFPR,Sim,Remota,Sim,Não,Totalmente em escola pública,Ensino médio tradicional,Feminino,165,66,30/06/1980,Servidora federal,Com o namorado(a)/noivo(a)/cônjuge,3,Curitiba,B (carro),Carro/moto próprio,20,4,Peixe,Não toco nenhum instrumento,"Facebook, Google+, Instagram",48,A se chama Bouba e B se chama Kiki.
17/03/2020 10:31:51,UFPR,SP - Palotina,Mestrado Acadêmico,Ciências Exatas,2018,UFPR,"Iniciação científica, Projeto de extensão",,,,0,Não,1,0,Não,,Certamente sim,0,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Por colegas,Não,Remota,Não,Não,Totalmente em escola pública,Ensino médio tradicional,Masculino,185,77,27/02/1995,Trabalho com carteira assinada/Vínculo Formal,Com o namorado(a)/noivo(a)/cônjuge,2,Interior do Paraná,A e B (moto e carro),Bicicleta,10,0,Não possuo,Não toco nenhum instrumento,"Facebook, Instagram",57,B se chama Bouba e A se chama Kiki.
17/03/2020 10:40:18,UFPR,AG - Agrárias,Doutorado,Ciências Exatas,2011,UFPA,"Iniciação científica, Projeto de extensão",2011,2013,UFPA,8,Não,2,8,Sim,"SAS, Statistica, Excel",Certamente sim,10,Avançar academicamente e possibilitar maior transferência de tecnologia da região que atuo,Coordenação do PPGEAL,Sim,Remota,Não,Não,Totalmente em escola particular,Ensino médio tradicional,Feminino,165,60,24/04/1987,Servidor Público,Com o namorado(a)/noivo(a)/cônjuge,5,Outro Estado,B (carro),Carro/moto próprio,20,5,Não possuo,Não toco nenhum instrumento,"Facebook, Twitter, Instagram, Linkedin",62,B se chama Bouba e A se chama Kiki.
17/03/2020 10:55:54,UEPG,,Mestrado Acadêmico,Ciências Biológicas,2019,UEPG,"Iniciação científica, Monitoria, Projeto de extensão",,,,0,CAPES,0,0,Não,,Certamente sim,8,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Site da UFPR ou instituição de origem,Não,Remota,Não,Não,Totalmente em escola particular,Ensino médio tradicional,Masculino,185,90,03/10/1997,Bolsista em tempo integral,Com os pais,1,Interior do Paraná,B (carro),Carro/moto próprio,15,2,Cachorro,Não toco nenhum instrumento,"Facebook, Google+, Instagram",50,B se chama Bouba e A se chama Kiki.
17/03/2020 11:00:12,UFPR,SP - Palotina,Doutorado,Ciências Exatas,2014,UTFPR,"Iniciação científica, Projeto de extensão",2014,2016,UEM,1,Não,1,1,Sim,Excel,Certamente sim,6,Aumento salarial e oportunidades mais promissoras.,Site da UFPR ou instituição de origem,Não,Remota,Não,Não,Totalmente em escola particular,Ensino médio tradicional,Feminino,172,67,13/01/1992,Trabalho por contrato,Sozinho,2,Interior do Paraná,A e B (moto e carro),Carro/moto próprio,60,0,Cachorro,Não toco nenhum instrumento,"Facebook, Instagram, Linkedin",55,B se chama Bouba e A se chama Kiki.
17/03/2020 11:03:04,UFPR,SD - Saúde,Doutorado,Ciências Biológicas,1998,UNIPAR,Projeto de extensão,2004,2007,UFRGS,5,Não,1,2,Sim,"SPSS, Excel",Certamente sim,10,Aperfeiçoar as atividades de pesquisa que realizo.,Email da coordenação do Programa que estou vinculada na UFPR,Não,Remota,Não,Não,Totalmente em escola pública,Ensino médio tradicional,Feminino,173,78,03/02/1977,Trabalho com carteira assinada/Vínculo Formal,Com o namorado(a)/noivo(a)/cônjuge,3,Interior do Paraná,B (carro),Táxi/Aplicativo,10,2,Não possuo,Violão,Nenhuma,48,A se chama Bouba e B se chama Kiki.
17/03/2020 11:09:58,UFPR,ET - Exatas,Mestrado Acadêmico,Ciências Exatas,2018,UFPEL,"Iniciação científica, PET, DA",,2021,UFPR,0,CAPES,2,7,Sim,"Minitab, Excel",Certamente sim,10,Conseguir um emprego.,Site da UFPR ou instituição de origem,Não,Remota,Não,Não,Totalmente em escola particular,Ensino médio tradicional,Feminino,167,70,30/01/1995,nÃO HÁ,Sozinho,1,Outro Estado,B (carro),Transporte público,40,2,Cachorro,Violão,"Instagram, Linkedin",50,A se chama Bouba e B se chama Kiki.
17/03/2020 11:22:44,UNICENTRO,,Doutorado,Ciências Biológicas,2017,UNICENTRO,"Iniciação científica, Monitoria",2018,2020,UNICENTRO,3,CAPES,1,2,Sim,"R, SAS, Excel, Matlab",Certamente sim,10,Conseguir um emprego.,Site da UFPR ou instituição de origem,Não,Remota,Não,Não,Totalmente em escola pública,Ensino médio profissionalizante (técnico),Masculino,180,88,25/08/1995,Bolsista em tempo integral,Com os pais,2,Interior do Paraná,A e B (moto e carro),Carona com amigos,20,0,Cachorro,Não toco nenhum instrumento,"Facebook, Instagram, Linkedin",45,A se chama Bouba e B se chama Kiki.
17/03/2020 11:25:59,UNILA,,Mestrado Acadêmico,Ciências Exatas,2014,FASATC,Iniciação científica,,,,0,Não,1,20,Não,,Não sei ainda,5,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Pelo(a)  orientador(a),Não,Remota,Não,Não,Totalmente em escola particular,Ensino médio profissionalizante (técnico),Masculino,182,92,05/09/1988,Trabalho por contrato,Com o namorado(a)/noivo(a)/cônjuge,1,Outro Estado,A e B (moto e carro),Carro/moto próprio,840,0,Gato,Não toco nenhum instrumento,"Facebook, Twitter, Instagram, Linkedin",45,A se chama Bouba e B se chama Kiki.
17/03/2020 11:30:55,UFPR,AG - Agrárias,Mestrado Acadêmico,Ciências Biológicas,2014,UTP,"Iniciação científica, Projeto de extensão",,,,0,Não,1,0,Sim,Excel,Não sei ainda,5,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Site da UFPR ou instituição de origem,Não,Remota,Não,Não,Totalmente em escola pública,Ensino médio tradicional,Feminino,163,63,05/09/1991,Trabalho ocasional,Com o namorado(a)/noivo(a)/cônjuge,2,Interior do Paraná,B (carro),Carro/moto próprio,40,0,"Cachorro, Gato, Pássaro, Peixe, Outro",Não toco nenhum instrumento,"Facebook, Twitter, Instagram, Linkedin",54,B se chama Bouba e A se chama Kiki.
17/03/2020 11:41:40,UNILA,ET - Exatas,Doutorado,Ciências Exatas,2006,UNIOESTE,"Iniciação científica, Monitoria, Projeto de extensão",2006,2008,UFPR,1,Não,2,1,Sim,"R, Excel",Certamente sim,8,Aumento salarial e oportunidades mais promissoras.,Pelo(a)  orientador(a),Não,Remota,Não,Não,Totalmente em escola pública,Ensino médio tradicional,Masculino,170,77,18/01/1984,Trabalho com carteira assinada/Vínculo Formal,Com o namorado(a)/noivo(a)/cônjuge,1,Interior do Paraná,B (carro),Carro/moto próprio,30,1,Cachorro,Não toco nenhum instrumento,"Facebook, Instagram",47,B se chama Bouba e A se chama Kiki.
17/03/2020 11:46:00,IFTO,,Doutorado,Ciências Biológicas,1994,CEFET RJ,Projeto de extensão,2013,2016,UFT universidade federal de Tocantins,2,Não,1,0,Sim,Excel,Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,secretaria da UNIOEST de Toledo,Não,Remota,Não,Não,Totalmente em escola pública,Ensino médio tradicional,Masculino,171,83,05/11/1963,professor integral,"Pensão, quarto alugado ou algo similar",9,Outro País,B (carro),A pé,10,1,Não possuo,Não toco nenhum instrumento,Instagram,55,B se chama Bouba e A se chama Kiki.
17/03/2020 11:51:51,UNICENTRO,,Mestrado Acadêmico,Ciências Biológicas,2019,Unicentro,"Iniciação científica, Projeto de extensão, CRF-Jr",,,,0,CNPQ,1,5,Sim,Excel,Certamente sim,9,Aumento salarial e oportunidades mais promissoras.,Pelo(a)  orientador(a),Sim,Remota,Sim,Não,"Parte em escola pública, parte em particular",Ensino médio tradicional,Feminino,163,52,03/03/1997,Bolsista em tempo integral,Com os pais,1,Interior do Paraná,Não,Transporte público,30,3,Cachorro,Não toco nenhum instrumento,"Facebook, Twitter, Google+, Instagram, Linkedin",53,B se chama Bouba e A se chama Kiki.
17/03/2020 12:37:12,UNICENTRO,,Doutorado,Ciências Biológicas,2017,UTFPR,"PET, Projeto de extensão",2017,2019,UFPEL,16,Não,1,2,Sim,"Excel, winstat",Certamente sim,10,Aumento salarial e oportunidades mais promissoras.,Pelo(a)  orientador(a),Não,Remota,Não,Não,Totalmente em escola pública,profissionalizante - magistério,Feminino,165,80,30/01/1995,Trabalho com carteira assinada/Vínculo Formal,Com o namorado(a)/noivo(a)/cônjuge,3,Interior do Paraná,A e B (moto e carro),Carro/moto próprio,20,0,"Cachorro, Peixe",Não toco nenhum instrumento,"Facebook, Instagram, Linkedin",47,B se chama Bouba e A se chama Kiki.
17/03/2020 12:41:34,UNIOESTE,,Doutorado,Ciências Humanas,1990,UNISINOS,Projeto de extensão,2013,2015,UNIOESTE,07,Não,02,0,Sim,"Excel, qGIS",Certamente sim,10,REALIZAR NOVAS PESQUISAS,Pelo(a)  orientador(a),Não,Remota,Não,Não,Totalmente em escola particular,Ensino médio profissionalizante (técnico),Feminino,136,38,11/04/1965,SERVIDOR PÚBLICO MUNICIPAL,Com outros familiares,01,Outro Estado,B (carro),Carro/moto próprio,06,0,Cachorro,Não toco nenhum instrumento,"Facebook, Google+, Linkedin",41,B se chama Bouba e A se chama Kiki.
17/03/2020 13:06:08,UFPR,SD - Saúde,Doutorado,Ciências Biológicas,2000,PUC-PR,Monitoria,2006,2008,Faculdade Evangélica do Paraná ,18,Não,0,1,Sim,JMP,Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Site da UFPR ou instituição de origem,Não,Remota,Não,Não,Totalmente em escola particular,Ensino médio tradicional,Masculino,177,82,01/02/1977,Servidor Público ,Com o namorado(a)/noivo(a)/cônjuge,5,Outro Estado,B (carro),Carro/moto próprio,30,0,Cachorro,Não toco nenhum instrumento,"Facebook, Instagram, Linkedin",52,B se chama Bouba e A se chama Kiki.
17/03/2020 13:32:10,UEPG,,Doutorado,Ciências Biológicas,2007,UTFPR,,2018,2020,UEPG,2,CAPES,2,0,Sim,SAS,Certamente sim,10,Conseguir um emprego.,Pela UEPG,Não,Remota,Não,Não,Totalmente em escola particular,Ensino médio tradicional,Feminino,165,54,02/03/1985,Bolsista em tempo integral,Com o namorado(a)/noivo(a)/cônjuge,3,Interior do Paraná,B (carro),Carro/moto próprio,20,0,Não possuo,Não toco nenhum instrumento,"Facebook, Instagram",43,B se chama Bouba e A se chama Kiki.
17/03/2020 13:47:10,UNICENTRO,,Mestrado Profissional,Ciências Biológicas,2018,UNICENTRO,Iniciação científica,,,,2,CAPES,1,1,Sim,"SPSS, Excel, Matlab",Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Por colegas,Não,Remota,Não,Não,Totalmente em escola pública,Ensino médio tradicional,Feminino,164,59,10/10/1994,Bolsista em tempo integral,Sozinho,1,Interior do Paraná,B (carro),Transporte público,25,1,Cachorro,Não toco nenhum instrumento,"Facebook, Instagram, Linkedin",42,B se chama Bouba e A se chama Kiki.
17/03/2020 13:47:15,UEPG,,Doutorado,Ciências Biológicas,2017,UEPG,"Iniciação científica, Monitoria, Projeto de extensão",2018,2020,UEPG,01,CAPES,01,01,Sim,"SPSS, Excel",Certamente sim,10,Aumento salarial e oportunidades mais promissoras.,Pelo programa de pós-graduação da minha instituição.,Não,Remota,Não,Não,Totalmente em escola pública,Ensino médio tradicional,Feminino,168,56,14/12/1994,Bolsista em tempo integral,Sozinho,02,Interior do Paraná,Não,A pé,15,4,Cachorro,Outro,"Facebook, Instagram",43,B se chama Bouba e A se chama Kiki.
17/03/2020 14:12:22,UFPR,AG - Agrárias,Mestrado Acadêmico,Ciências Biológicas,2015,UFMT,"Monitoria, Projeto de extensão",,,,0,Não,1,8,Sim,"R, Excel",Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Site da UFPR ou instituição de origem,Não,Presencial,Não,Não,Totalmente em escola particular,Ensino médio tradicional,Masculino,180,79,15/02/2014,Desempregado,Com o namorado(a)/noivo(a)/cônjuge,1,Outro Estado,B (carro),Bicicleta,20,3,Cachorro,Flauta,"Facebook, Instagram",50,B se chama Bouba e A se chama Kiki.
17/03/2020 14:23:27,UFPR,AG - Agrárias,Mestrado Acadêmico,Ciências Biológicas,2013,UFPR,"Iniciação científica, Monitoria, Projeto de extensão",,2022,,0,Não,1,0,Não,,Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Site da UFPR ou instituição de origem,Não,Presencial,Não,Não,Totalmente em escola particular,Ensino médio tradicional,Feminino,168,56,15/11/1984,Trabalho ocasional,Com o namorado(a)/noivo(a)/cônjuge,1,Outro Estado,B (carro),Carro/moto próprio,25,0,Cachorro,Não toco nenhum instrumento,"Facebook, Instagram, Outras",50,A se chama Bouba e B se chama Kiki.
17/03/2020 14:39:42,UFPR,SP - Palotina,Doutorado,Ciências Exatas,2005,UNIOESTE,,2015,2017,UFPR,3,Não,1,0,Não,"Excel, Matlab",Não sei ainda,8,Aumento salarial e oportunidades mais promissoras.,Site da UFPR ou instituição de origem,Sim,Remota,Não,Não,Totalmente em escola particular,Ensino médio tradicional,Masculino,183,85,16/05/1983,Trabalho com carteira assinada/Vínculo Formal,Com o namorado(a)/noivo(a)/cônjuge,1,Interior do Paraná,A e B (moto e carro),Carro/moto próprio,4,0,Não possuo,"Violão, Bateria",Outras,50,B se chama Bouba e A se chama Kiki.
17/03/2020 14:44:54,UFPR,AG - Agrárias,Doutorado,Ciências Biológicas,2016,UFPR,,2018,2020,UFPR,2,CAPES,1,1,Sim,R,Certamente sim,10,Conseguir um emprego.,Site da UFPR ou instituição de origem,Não,Remota,Não,Não,Totalmente em escola particular,Ensino médio tradicional,Masculino,178,83,27/11/1992,Bolsista em tempo integral,Com os pais,1,Curitiba,B (carro),Transporte público,15,10,Cachorro,Não toco nenhum instrumento,"Facebook, Instagram, Linkedin",60,A se chama Bouba e B se chama Kiki.
17/03/2020 14:47:19,UEPG,,Doutorado,Ciências Biológicas,2015,UEPG,"PET, Monitoria, Projeto de extensão",2018,2020,UEPG,0,CAPES,1,10,Sim,"SPSS, Excel",Certamente sim,10,Aumento salarial e oportunidades mais promissoras.,Email institucional da SuCom (Superintendência de Comunicação e Marketing),Não,Remota,Não,Sim,Totalmente em escola particular,Ensino médio tradicional,Feminino,162,55,14/01/1993,Bolsista em tempo integral,Com os pais,0,Interior do Paraná,B (carro),Carro/moto próprio,15,1,Não possuo,Não toco nenhum instrumento,Instagram,62,A se chama Bouba e B se chama Kiki.
17/03/2020 15:44:08,UFPR,TC - Tecnologia,Mestrado Acadêmico,Ciências Exatas,2019,ufpr,"PET, Monitoria",,,,0,Não,2,4,Sim,"R, SAS, Excel",Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Pelos professores que ministram/ministraram disciplinas da Transversal,Não,Presencial,Sim,Sim,Totalmente em escola particular,Ensino médio tradicional,Masculino,190,90,19/09/1996,Trabalho ocasional,Com os pais,4,Curitiba,B (carro),Carro/moto próprio,20,1,Não possuo,Não toco nenhum instrumento,"Facebook, Instagram, Linkedin, Outras",50,B se chama Bouba e A se chama Kiki.
17/03/2020 15:50:09,UFPR,AG - Agrárias,Doutorado,Ciências Biológicas,2017,Udesc ,Projeto de extensão,2018,2020,Udesc,2,Não,2,1,Sim,"SAS, Statistica, Excel, Sisvar",Certamente sim,10,Aumento salarial e oportunidades mais promissoras.,Pelo(a)  orientador(a),Não,Presencial,Não,Não,Totalmente em escola pública,Ensino médio tradicional,Feminino,168,78,14/03/1996,Trabalho ocasional,Com amigos,3,Outro Estado,Não,A pé,25,6,Não possuo,Não toco nenhum instrumento,"Facebook, Twitter, Instagram",52,A se chama Bouba e B se chama Kiki.
