Carimbo de data/hora,A qual instituição você está filiado hoje?,"Se você estuda na UFPR, em qual setor você está inserido?  ",Qual sua atividade atual na sua universidade (relacionada à presença nesta disciplina)?,Em qual grande área do conhecimento sua pesquisa está inserida hoje?,Em qual ano você concluiu sua graduação?,"Em qual instituição você concluiu sua graduação? (Insira a sigla, ex: UFPR, UNIOESTE, PUCPR, UEM, UEL, etc.)",De quais programas de graduação você participou?,"Se você já concluiu o mestrado, qual o ano de início do mestrado?",Qual o ano de conclusão do seu mestrado?,Em qual instituição você fez seu mestrado?,Quantos artigos (com qualis) você já publicou?,Você é bolsista remunerado de algum programa? Qual?,Quantas disciplinas de Estatística você cursou na graduação?,Quantas disciplinas DIFERENTES de Estatística vc cursou na pós-graduação (mestrado + doutorado) no total? ,Já utilizou algum software com funcionalidades estatísticas?,Qual(is) software(s) com funcionalidades estatísticas você usa ou já usou?,Você vai utilizar métodos estatísticos na sua Pós-Graduação/Pesquisa?,Qual a importância que você atribui à Estatística no seu trabalho de Pós-Graduação/Pesquisa? ,"Se você está fazendo Pós-Graduação, qual a sua principal expectativa após a conclusão?",Como tomou conhecimento da Disciplina Transversal?,"Após se matricular no SIGA, você assistiu alguma aula do ano anterior da Disciplina no YouTube? ",A qual turma da disciplina você pertence?,Tem/teve contato ou conhecimento sobre o Prof. Coordenador da Disciplina (Paulo Justiniano)?,Tem/teve contato ou conhecimento sobre o(s) prof(s). colaboradores da disciplina?,Você cursou o ensino médio em escola pública ou particular?,Você cursou ensino médio tradicional ou profissionalizante?,Sexo,Qual a sua altura?,Qual o seu peso?,Qual a data do seu nascimento?,Qual das seguintes categorias descreve melhor sua situação de emprego?,Você mora,Quantos irmãos você tem?,Qual a sua origem?,Possui habilitação para dirigir? Qual categoria?,Qual seu meio de transporte predominante para ir para Universidade?,"Em média, quanto tempo você demora para chegar a Universidade?","Em média, quantas vezes você usa táxi/aplicativo de transporte durante o mês?",Possui animal de estimação?,Toca algum instrumento musical?,De quais redes sociais você participa?,Quantos anos você acha que a pessoa da foto abaixo tem?,"Observe as figuras abaixo. Uma delas se chama ""Bouba"" e a outra ""Kiki"". Quem é quem?"
16/03/2020 23:29:39,UFPR,TC - Tecnologia,Mestrado Acadêmico,Ciências Exatas,2008,UFPR,"Projeto de extensão, Empresa Júnior",,,,0,Não,1,1,Sim,Excel,Certamente sim,8,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Site da UFPR ou instituição de origem,Não,Presencial,Não,Não,Totalmente em escola particular,Ensino médio tradicional,Masculino,171,75,03/07/1983,Trabalho por contrato,Com o namorado(a)/noivo(a)/cônjuge,1,Interior do Paraná,A e B (moto e carro),Carro/moto próprio,20,1,Não possuo,"Violão, Guitarra, Teclado","Twitter, Instagram, Linkedin",55,B se chama Bouba e A se chama Kiki.
16/03/2020 23:34:42,UNILA,,Mestrado Profissional,Ciências Biológicas,2009,UDC,,,,,0,Não,2,0,Não,,Certamente sim,10,Aumento salarial e oportunidades mais promissoras.,Pelo(a)  orientador(a),Não,Remota,Não,Não,Totalmente em escola particular,Ensino médio tradicional,Feminino,165,66,08/05/1986,servidor publico federal,Com o namorado(a)/noivo(a)/cônjuge,1,Interior do Paraná,B (carro),Carro/moto próprio,10,0,Cachorro,Não toco nenhum instrumento,"Facebook, Instagram",56,B se chama Bouba e A se chama Kiki.
16/03/2020 23:45:26,UFPR,AG - Agrárias,Doutorado,Ciências Biológicas,2007,UFPR,"Iniciação científica, Monitoria, Projeto de extensão",2011,2013,UFPR,2,Não,1,2,Não,,Certamente sim,8,Aumento salarial e oportunidades mais promissoras.,Por colegas,Não,Remota,Não,Não,Totalmente em escola particular,Ensino médio tradicional,Feminino,152,60,12/04/1985,Trabalho com carteira assinada/Vínculo Formal,Com o namorado(a)/noivo(a)/cônjuge,2,Curitiba,B (carro),Carro/moto próprio,7,2,Não possuo,Violão,"Facebook, Instagram",60,B se chama Bouba e A se chama Kiki.
16/03/2020 23:53:24,UFPR,SD - Saúde,Mestrado Acadêmico,Ciências Humanas,2013,UNIVALI,,,2021,UFPR,0,Não,1,12,Não,,Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Site da UFPR ou instituição de origem,Não,Remota,Não,Não,Totalmente em escola pública,Ensino médio tradicional,Feminino,170,67,30/11/1989,Trabalho com carteira assinada/Vínculo Formal,Com o namorado(a)/noivo(a)/cônjuge,4,Outro Estado,A e B (moto e carro),Transporte público,240,4,Cachorro,Não toco nenhum instrumento,"Facebook, Instagram, Linkedin",45,B se chama Bouba e A se chama Kiki.
16/03/2020 23:55:53,UFPR,SD - Saúde,Mestrado Profissional,Ciências Biológicas,2008,PUCPR,,,,,5,CAPES,1,0,Sim,Excel,Certamente sim,10,Aumento salarial e oportunidades mais promissoras.,Site da UFPR ou instituição de origem,Não,Remota,Não,Não,Totalmente em escola particular,Ensino médio tradicional,Masculino,180,75,13/11/2020,Trabalho por contrato,Com outros familiares,3,Curitiba,B (carro),Transporte público,15,3,Peixe,Não toco nenhum instrumento,"Facebook, Instagram",48,B se chama Bouba e A se chama Kiki.
17/03/2020 00:43:53,UNILA,,Mestrado Acadêmico,Ciências Exatas,2019,UNILA,"Iniciação científica, Monitoria",,,,0,Não,1,0,Sim,"Excel, Matlab, Scilab; Origin ProLab",Não sei ainda,6,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Site da UFPR ou instituição de origem,Não,Remota,Não,Não,Totalmente em escola particular,Ensino médio tradicional,Feminino,161,51,03/06/1993,Desempregada,Com os pais,1,Interior do Paraná,B (carro),Carro/moto próprio,20,0,Cachorro,Não toco nenhum instrumento,"Twitter, Instagram, Linkedin",40,B se chama Bouba e A se chama Kiki.
17/03/2020 00:50:23,UFPR,TC - Tecnologia,Mestrado Acadêmico,Ciências Biológicas,2017,UFCG,"Iniciação científica, Monitoria",,,,2,CAPES,2,3,Sim,Excel,Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Por alguma outra mídia social da UFPR,Não,Remota,Não,Não,Totalmente em escola pública,Ensino médio tradicional,Masculino,183,102,06/12/1993,Bolsista em tempo integral,Com amigos,1,Outro Estado,Não,A pé,30,5,Não possuo,Não toco nenhum instrumento,Instagram,46,B se chama Bouba e A se chama Kiki.
17/03/2020 00:59:30,FURB,AG - Agrárias,Professor,Ciências Biológicas,2005,UnC,"Monitoria, Projeto de extensão",2009,2011,UFPR,04,Não,01,0,Sim,"Statistica, Excel",Definitivamente não,0,Aumento salarial e oportunidades mais promissoras.,Site da UFPR ou instituição de origem,Não,Presencial,Não,Não,Totalmente em escola pública,Ensino médio tradicional,Masculino,175,80,03/06/1982,Trabalho com carteira assinada/Vínculo Formal,Sozinho,0,Outro Estado,A e B (moto e carro),Carro/moto próprio,30,04,"Cachorro, Outro","Violão, Guitarra","Instagram, Outras",55,B se chama Bouba e A se chama Kiki.
17/03/2020 01:27:03,UFPR,SD - Saúde,Mestrado Acadêmico,Ciências Biológicas,2011,UFSCar,"Iniciação científica, Projeto de extensão",,,,1,Não,1,1,Sim,"Excel, Matlab",Certamente sim,10,Aumento salarial e oportunidades mais promissoras.,Por alguma outra mídia social da UFPR,Não,Remota,Não,Não,Totalmente em escola pública,Ensino médio tradicional,Feminino,162,56,05/08/1988,Trabalho com carteira assinada/Vínculo Formal,Sozinho,1,Outro Estado,B (carro),Táxi/Aplicativo,10,60,Não possuo,Não toco nenhum instrumento,"Facebook, Instagram",55,A se chama Bouba e B se chama Kiki.
17/03/2020 01:35:24,UEPG,,Doutorado,Ciências Exatas,2015,UFV,"Iniciação científica, Monitoria, Projeto de extensão, Empresa Júnior",2016,2018,UFV,13,CAPES,2,2,Sim,"R, SAS, Minitab, Statistica, Excel, Matlab",Certamente sim,10,Aumento salarial e oportunidades mais promissoras.,Programa de pós-graduação em Agronomia UEPG,Não,Remota,Não,Não,Totalmente em escola pública,Ensino médio profissionalizante (técnico),Masculino,188,110,25/12/1992,Bolsista em tempo integral,Com o namorado(a)/noivo(a)/cônjuge,3,Outro Estado,A e B (moto e carro),Carro/moto próprio,5,0,Não possuo,Não toco nenhum instrumento,"Facebook, Twitter, Google+, Instagram",45,A se chama Bouba e B se chama Kiki.
